place_name,whether_calculated,is_people,pred_is_people,predicted_name
로하이피씨방,1,0,0,로하이
롤앤밥스,1,0,0,
롯데리아평촌,1,0,0,
롯데물산주식,0,0,0,
롯데백화점( ,1,0,0,
롯데백화점평,1,0,0,
롯데쇼핑(   ,1,0,0,
롯데컬처웍스,1,0,0,
롯데프리미엄,1,0,0,
리그pc방범,1,0,0,
리틀꼬마김밥,1,0,0,리틀꼬
리틀꼬마김밥안양호,1,0,0,리틀꼬
리플레이PC,1,0,0,리플레
마미절면,1,0,0,마미절
마스타해외승,0,0,0,마스타
마시쩡석수점,1,0,0,마시쩡
마음앤카페,1,0,0,마음앤
마인드스터디,1,0,0,마인드
맘스터치,1,0,0,
맘스터치(   ,1,0,0,
맘스터치논산,1,0,0,
맘스터치동국,1,0,0,
맛동산분식,1,0,0,
맛있는햄부대,1,0,0,
매머드익스프,1,0,0,매머드
매운국물떡볶,1,0,0,매운국
매칭지원금,0,0,0,매칭지
맥도날드안양,1,0,0,
맥도날드여의,1,0,0,
머리짓다,1,0,0,
메가엠지씨커,1,0,0,
메가엠지씨커피평촌,1,0,0,
메가프로피씨,1,0,0,
멜론PC방,1,0,0,
명당만두,1,0,0,명당만
명동김밥,1,0,0,명동김
명륜진사갈비,1,0,0,명륜진
모바일티머니,0,0,0,모바일
모빌-ARS,0,0,0,
모아편의점,1,0,0,모아편
목련마트,1,0,0,목련마
못된고양이,1,0,0,
무신사,1,0,0,무신사
무인양품(   ,1,0,0,무인양
미가김밥,1,0,0,미가김
미니스톱금왕,1,0,0,미니스
미니스톱논산,1,0,0,미니스
미니스톱범계,1,0,0,미니스
미니스톱석수,1,0,0,미니스
미니스톱안양,1,0,0,미니스
미니스톱평촌,1,0,0,미니스
미사리밀빛초,1,0,0,미사리
미소야산본로,1,0,0,미소야
민아생일축하,0,0,0,민아생
밀섧범계점,1,0,0,
바나프레소범,1,0,0,
바나프레소선,1,0,0,
바나프레소충,1,0,0,
바우네나주곰,1,0,0,
박가부대찌개,1,0,0,박가부
박기범,0,1,1,박기범
박성빈,0,1,1,박성빈
박윤서,0,1,1,박윤서
박훈헤어샵,1,0,0,박훈헤
밥보야뚠뚠이,1,0,0,
배니베니PC,1,0,0,배니베
백소정동국대,1,0,1,백소정
백순대본가새,1,0,0,백순대
백의원,1,0,0,백의원
밸리PC인덕,1,0,0,
버거앤프라이,1,0,0,
버거킹평촌학,1,0,0,
범계역점빽다,1,0,0,범계역
병천순대,1,0,0,
병천아우내순,1,0,0,
보배반점(   ,1,0,0,보배반
보이스노래연,1,0,0,보이스
봉구스밥버거,1,0,0,봉구스
부대의전설( ,1,0,0,부대의
붐바타안양평,1,0,0,
브랑제리과자,1,0,0,
브레드필유( ,1,0,0,
블랙콩(호 ,1,0,0,
블루문스터디,1,0,0,
블루문스터디카페(,1,0,0,
블루보틀커피,1,0,0,
비허밍스터디,1,0,0,비허밍
빽다방충무로,1,0,0,
사천성,1,0,0,사천성
삼성이건민,0,1,0,삼성이
삼성전자서비,1,0,0,삼성전
삼중대광,1,0,0,삼중대
상병11,0,0,0,
상황근무증식,0,0,0,상황근
새봄온누리약,1,0,0,
새빛,1,0,0,
샐러디범계역,1,0,0,
생일자특식,0,0,0,
생일축하해  ,0,0,0,
생일축하해건,0,0,0,
샹떼PC방,1,0,0,
샹떼PC방안,1,0,0,
샹떼PC방평,1,0,0,
서민우,0,1,1,서민우
서울베스트의,1,0,0,서울베
서울택시_   ,1,0,0,서울택
선경미용실,1,0,0,선경미
선물하기(   ,0,0,0,선물하
선미슈퍼,1,0,0,선미슈
설빙,1,0,0,
설빙(안양 ,1,0,0,
설아아이스크,1,0,0,설아아
설아아이스크림,1,0,0,설아아
성민그린마트,1,0,0,성민그
성우환불,0,0,0,성우환
세븐일레븐경,1,0,0,
세븐일레븐과,1,0,0,
세븐일레븐논,1,0,0,
세븐일레븐동,1,0,0,
세븐일레븐범,1,0,0,
세븐일레븐석,1,0,0,
세븐일레븐안,1,0,0,
세븐일레븐안양호계,1,0,0,
세븐일레븐충,1,0,0,
세븐일레븐평,1,0,0,
세븐일레븐힐,1,0,0,
세종시티약국,1,0,0,
소민재,0,1,1,소민재
송복현,0,1,0,송복현
수원왕갈비,1,0,0,수원왕
숨맑은집,1,0,0,
숨맑은집평촌,1,0,0,
숨맑은집학원,1,0,0,
쉐프의부대찌,1,0,0,
슈가당,1,0,0,
슈퍼스타코인,1,0,0,
스마일약국,1,0,0,
스타벅스코리,1,0,0,
스토리PC,1,0,0,
스톰PC,1,0,0,
스톰PC방,1,0,0,
스팩매도,0,0,0,
시애틀,1,0,0,시애틀
시외버스모바,1,0,0,시외버
시원달콤24  ,1,0,0,시원달
신규환,0,1,1,신규환
신대풍감자탕,1,0,0,신대풍
신북경국빈,1,0,0,신북경
신세계팩토리,1,0,1,신세계
신순미비타민,0,1,1,신순미
신영미,0,1,1,신영미
신영미ETF,0,1,1,신영미
신영미HVM   ,0,1,1,신영미
신영미LG씨,0,1,1,신영미
신영미LS매,0,1,1,신영미
신영미SK33  ,0,1,1,신영미
신영미공모주,0,1,1,신영미
신영미노브랜,0,1,1,신영미
신영미뉴로핏,0,1,1,신영미
신영미뉴엔에,0,1,1,신영미
신영미달바글,0,1,1,신영미
신영미대한조선,0,1,1,신영미
신영미더본환,0,1,1,신영미
신영미등록금,0,1,1,신영미
신영미디앤디,0,1,1,신영미
신영미미래6 ,0,1,1,신영미
신영미민테크,0,1,1,신영미
신영미바이오,0,1,1,신영미
신영미산일전,0,1,1,신영미
신영미스카비,0,1,1,신영미
신영미스펙환,0,1,1,신영미
신영미시프트,0,1,1,신영미
신영미신한13,0,1,1,신영미
신영미싸이닉매도,0,1,1,신영미
신영미쏘닉스,0,1,1,신영미
신영미씨어스,0,1,1,신영미
신영미아이엠,0,1,1,신영미
신영미에스오,0,1,1,신영미
신영미에이직,0,1,1,신영미
신영미용돈,0,1,1,신영미
신영미유라클,0,1,1,신영미
신영미이뮨나,0,1,1,신영미
신영미이뮨온,0,1,1,신영미
신영미제이엠,0,1,1,신영미
신영미제일엔,0,1,1,신영미
신영미주식,0,1,1,신영미
신영미주식2 ,0,1,1,신영미
신영미주식매,0,1,1,신영미
신영미청약환,0,1,1,신영미
신영미케이엔,0,1,1,신영미
신영미케이워,0,1,1,신영미
신영미코칩환,0,1,1,신영미
신영미쿠폰거래,0,1,1,신영미
신영미클로봇,0,1,1,신영미
신영미클리반,0,1,1,신영미
신영미키움이,0,1,1,신영미
신영미프로티나,0,1,1,신영미
신영미하이젠,0,1,1,신영미
신영미한텍,0,1,1,신영미
신영미환불금,0,1,1,신영미
신재원,0,1,1,신재원
신정민,0,1,1,신정민
신포우리만두,1,0,0,신포우
신풍부대찌개,1,0,0,신풍부
써브웨이범계,1,0,0,
쏘닉스,0,0,0,
쓰리팝피씨카,1,0,0,
씨유(CU)M   ,1,0,0,
씨유(CU)광,1,0,0,
씨유(CU)대,1,0,0,
씨유(CU)동,1,0,0,
씨유(CU)목,1,0,0,
씨유(CU)목련꽃길점,1,0,0,
씨유(CU)무,1,0,0,
씨유(CU)범,1,0,0,
씨유(CU)부,1,0,0,
씨유(CU)안,1,0,0,
씨유(CU)일,1,0,0,
씨유(CU)평,1,0,0,
씨유(CU)평촌트리지,1,0,0,
씨유(CU)호,1,0,0,
씨유논산훈련,1,0,0,
씨유동국대기,1,0,0,
씨유산본중앙,1,0,0,
씨유상도터널,1,0,0,
씨유상주낙동,1,0,0,
씨유선릉역점,1,0,0,
씨유신용산래,1,0,0,
씨유신풍역점,1,0,0,
씨유안양관악,1,0,0,
씨유안양벤처,1,0,0,
씨유안양청룡,1,0,0,
씨유안양평촌,1,0,0,
씨유안양호계,1,0,0,
씨유엠잠실역,1,0,0,
씨유엠충무로,1,0,0,
씨유용산역점,1,0,0,
씨유의왕오전,1,0,0,
씨유중구필동,1,0,0,
씨유평촌공원,1,0,0,
씨유평촌먹거,1,0,0,
씨유평촌무궁,1,0,0,
씨유평촌보영,1,0,0,
씨유평촌우성,1,0,0,
씨유호계덕현,1,0,0,
씨유호계홈타,1,0,0,
씨제이올리브,1,0,0,
아레나PC방,1,0,0,아레나
아마스빈범계,1,0,0,아마스
아마스빈평촌,1,0,0,아마스
아미스카페테,1,0,0,아미스
아미키친,1,0,0,아미키
아비꼬안양범,1,0,0,아비꼬
아성다이소,1,0,0,아성다
아이센스리그,1,0,0,아이센
아이센스피시,1,0,0,아이센
아이스랑까까,1,0,0,아이스
아이스짱,1,0,0,아이스
아이지에이안,1,0,0,아이지
아인스까페,1,0,0,아인스
아재순대소녀,1,0,0,아재순
악쓰는하마코,1,0,0,
안양온천,1,0,0,안양온
안양평촌학원,0,0,0,안양평
안양하다,1,0,0,안양하
알래스카싸움,1,0,0,
알파문구,1,0,0,
얌얌분식,1,0,0,
양스김밥천국,1,0,0,양스김
얼음왕국석수,1,0,0,
에버그린,1,0,0,
에이럭스,0,0,0,
에이럭스GM,0,0,0,
에이치디씨아,1,0,0,
