place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
도누리오빠곱,9,1,0,0,0
동국대재무,9,0,0,0,0
동국대학교소,9,0,0,0,0
동국약국,9,1,0,0,0
동국할인점,9,1,0,0,0
동막골,9,1,0,0,0
동원건설산업,9,1,0,0,0
뒹글뒹글2,9,0,0,1,0
드림디포,9,1,0,0,0
드림디포범계,9,1,0,0,0
듣는커피,9,1,0,0,0
디디커피(D.D,9,1,0,0,0
디마인커피로,9,1,0,0,0
떡밥,9,1,0,0,0
떡순튀(평 ,9,1,0,0,0
떡슐랭1호 ,9,1,0,0,0
떡슐랭산본점,9,1,0,0,0
뚜레쥬르호계,9,1,0,0,0
라라약국,9,1,0,0,0
라온제나,9,1,0,0,0
라이또PC방,9,1,0,0,0
랜드에이엘,9,1,0,0,0
러쉬코리아가,9,1,0,0,0
레드쿨헤어,9,1,0,0,0
레벨업피씨방,9,1,0,0,0
로카모빌리티,9,1,0,0,0
로하이피씨방,9,1,0,0,0
롤앤밥스,9,1,0,0,0
롯데리아평촌,9,1,0,0,0
롯데물산주식,9,0,0,1,0
롯데백화점( ,9,1,0,0,0
롯데백화점평,9,1,0,0,0
롯데쇼핑(   ,9,1,0,0,0
롯데컬처웍스,9,1,0,0,0
롯데프리미엄,9,1,0,0,0
리그pc방범,9,1,0,0,0
리틀꼬마김밥,9,1,0,0,0
리틀꼬마김밥안양호,9,1,0,0,0
리플레이PC,9,1,0,0,0
마미절면,9,1,0,0,0
마스타해외승,9,0,0,0,0
마시쩡석수점,9,1,0,0,0
마음앤카페,9,1,0,0,0
마인드스터디,9,1,0,0,0
맘스터치,9,1,0,0,0
맘스터치(   ,9,1,0,0,0
맘스터치논산,9,1,0,0,0
맘스터치동국,9,1,0,0,0
맛동산분식,9,1,0,0,0
맛있는햄부대,9,1,0,0,0
매머드익스프,9,1,0,0,0
매운국물떡볶,9,1,0,0,0
매칭지원금,9,0,0,0,0
맥도날드안양,9,1,0,0,0
맥도날드여의,9,1,0,0,0
머리짓다,9,1,0,0,0
메가엠지씨커,9,1,0,0,0
메가엠지씨커피평촌,9,1,0,0,0
메가프로피씨,9,1,0,0,0
멜론PC방,9,1,0,0,0
명당만두,9,1,0,0,0
명동김밥,9,1,0,0,0
명륜진사갈비,9,1,0,0,0
모바일티머니,9,0,0,0,0
모빌-ARS,9,0,0,0,0
모아편의점,9,1,0,0,0
목련마트,9,1,0,0,0
못된고양이,9,1,0,0,0
무신사,9,1,0,0,0
무인양품(   ,9,1,0,0,0
미가김밥,9,1,0,0,0
미니스톱금왕,9,1,0,0,0
미니스톱논산,9,1,0,0,0
미니스톱범계,9,1,0,0,0
미니스톱석수,9,1,0,0,0
미니스톱안양,9,1,0,0,0
미니스톱평촌,9,1,0,0,0
미사리밀빛초,9,1,0,0,0
미소야산본로,9,1,0,0,0
민아생일축하,9,0,0,0,0
밀섧범계점,9,1,0,0,0
바나프레소범,9,1,0,0,0
바나프레소선,9,1,0,0,0
바나프레소충,9,1,0,0,0
바우네나주곰,9,1,0,0,0
박가부대찌개,9,1,0,0,0
박기범,9,0,1,0,0
박성빈,9,0,1,0,0
박윤서,9,0,1,0,0
박훈헤어샵,9,1,0,0,0
밥보야뚠뚠이,9,1,0,0,0
배니베니PC,9,1,0,0,0
백소정동국대,9,1,0,0,0
백순대본가새,9,1,0,0,0
백의원,9,1,0,0,0
밸리PC인덕,9,1,0,0,0
버거앤프라이,9,1,0,0,0
버거킹평촌학,9,1,0,0,0
범계역점빽다,9,1,0,0,0
병천순대,9,1,0,0,0
병천아우내순,9,1,0,0,0
보배반점(   ,9,1,0,0,0
보이스노래연,9,1,0,0,0
봉구스밥버거,9,1,0,0,0
부대의전설( ,9,1,0,0,0
붐바타안양평,9,1,0,0,0
브랑제리과자,9,1,0,0,0
브레드필유( ,9,1,0,0,0
블랙콩(호 ,9,1,0,0,0
블루문스터디,9,1,0,0,0
블루문스터디카페(,9,1,0,0,0
블루보틀커피,9,1,0,0,0
비허밍스터디,9,1,0,0,0
빽다방충무로,9,1,0,0,0
사천성,9,1,0,0,0
삼성이건민,9,0,1,1,0
삼성전자서비,9,1,0,0,0
삼중대광,9,1,0,0,0
상병11,9,0,0,0,0
상황근무증식,9,0,0,0,0
새봄온누리약,9,1,0,0,0
새빛,9,1,0,0,0
샐러디범계역,9,1,0,0,0
생일자특식,9,0,0,0,0
생일축하해  ,9,0,0,0,0
생일축하해건,9,0,0,0,0
샹떼PC방,9,1,0,0,0
샹떼PC방안,9,1,0,0,0
샹떼PC방평,9,1,0,0,0
서민우,9,0,1,0,0
서울베스트의,9,1,0,0,0
서울택시_   ,9,1,0,0,0
선경미용실,9,1,0,0,0
선물하기(   ,9,0,0,0,0
선미슈퍼,9,1,0,0,0
설빙,9,1,0,0,0
설빙(안양 ,9,1,0,0,0
설아아이스크,9,1,0,0,0
설아아이스크림,9,1,0,0,0
성민그린마트,9,1,0,0,0
성우환불,9,0,0,1,0
세븐일레븐경,9,1,0,0,0
세븐일레븐과,9,1,0,0,0
세븐일레븐논,9,1,0,0,0
세븐일레븐동,9,1,0,0,0
세븐일레븐범,9,1,0,0,0
세븐일레븐석,9,1,0,0,0
세븐일레븐안,9,1,0,0,0
세븐일레븐안양호계,9,1,0,0,0
세븐일레븐충,9,1,0,0,0
세븐일레븐평,9,1,0,0,0
세븐일레븐힐,9,1,0,0,0
세종시티약국,9,1,0,0,0
소민재,9,0,1,0,0
송복현,9,0,1,0,0
수원왕갈비,9,1,0,0,0
숨맑은집,9,1,0,0,0
숨맑은집평촌,9,1,0,0,0
숨맑은집학원,9,1,0,0,0
쉐프의부대찌,9,1,0,0,0
슈가당,9,1,0,0,0
슈퍼스타코인,9,1,0,0,0
스마일약국,9,1,0,0,0
스타벅스코리,9,1,0,0,0
스토리PC,9,1,0,0,0
스톰PC,9,1,0,0,0
스톰PC방,9,1,0,0,0
스팩매도,9,0,0,1,0
시애틀,9,1,0,0,0
시외버스모바,9,1,0,0,0
시원달콤24  ,9,1,0,0,0
신규환,9,0,1,0,0
신대풍감자탕,9,1,0,0,0
신북경국빈,9,1,0,0,0
신세계팩토리,9,1,0,0,0
신순미비타민,9,0,1,0,0
신영미,9,0,1,0,0
신영미ETF,9,0,1,1,0
신영미HVM   ,9,0,1,1,0
신영미LG씨,9,0,1,1,0
신영미LS매,9,0,1,1,0
신영미SK33  ,9,0,1,1,0
신영미공모주,9,0,1,1,0
신영미노브랜,9,0,1,1,0
신영미뉴로핏,9,0,1,1,0
신영미뉴엔에,9,0,1,1,0
신영미달바글,9,0,1,1,0
신영미대한조선,9,0,1,1,0
신영미더본환,9,0,1,1,0
신영미등록금,9,0,1,1,0
신영미디앤디,9,0,1,1,0
신영미미래6 ,9,0,1,1,0
신영미민테크,9,0,1,1,0
신영미바이오,9,0,1,1,0
신영미산일전,9,0,1,1,0
신영미스카비,9,0,1,1,0
신영미스펙환,9,0,1,1,0
신영미시프트,9,0,1,1,0
신영미신한13,9,0,1,1,0
신영미싸이닉매도,9,0,1,1,0
신영미쏘닉스,9,0,1,1,0
신영미씨어스,9,0,1,1,0
신영미아이엠,9,0,1,1,0
신영미에스오,9,0,1,1,0
신영미에이직,9,0,1,1,0
신영미용돈,9,0,1,1,0
신영미유라클,9,0,1,1,0
신영미이뮨나,9,0,1,1,0
신영미이뮨온,9,0,1,1,0
신영미제이엠,9,0,1,1,0
신영미제일엔,9,0,1,1,0
신영미주식,9,0,1,1,0
신영미주식2 ,9,0,1,1,0
신영미주식매,9,0,1,1,0
신영미청약환,9,0,1,1,0
신영미케이엔,9,0,1,1,0
신영미케이워,9,0,1,1,0
신영미코칩환,9,0,1,1,0
신영미쿠폰거래,9,0,1,1,0
신영미클로봇,9,0,1,1,0
신영미클리반,9,0,1,1,0
신영미키움이,9,0,1,1,0
신영미프로티나,9,0,1,1,0
신영미하이젠,9,0,1,1,0
신영미한텍,9,0,1,1,0
신영미환불금,9,0,1,1,0
신재원,9,0,1,0,0
신정민,9,0,1,0,0
신포우리만두,9,1,0,0,0
신풍부대찌개,9,1,0,0,0
써브웨이범계,9,1,0,0,0
쏘닉스,9,0,0,1,0
쓰리팝피씨카,9,1,0,0,0
씨유(CU)M   ,9,1,0,0,0
씨유(CU)광,9,1,0,0,0
씨유(CU)대,9,1,0,0,0
씨유(CU)동,9,1,0,0,0
씨유(CU)목,9,1,0,0,0
씨유(CU)목련꽃길점,9,1,0,0,0
씨유(CU)무,9,1,0,0,0
씨유(CU)범,9,1,0,0,0
씨유(CU)부,9,1,0,0,0
씨유(CU)안,9,1,0,0,0
씨유(CU)일,9,1,0,0,0
씨유(CU)평,9,1,0,0,0
씨유(CU)평촌트리지,9,1,0,0,0
씨유(CU)호,9,1,0,0,0
씨유논산훈련,9,1,0,0,0
씨유동국대기,9,1,0,0,0
씨유산본중앙,9,1,0,0,0
씨유상도터널,9,1,0,0,0
씨유상주낙동,9,1,0,0,0
씨유선릉역점,9,1,0,0,0
씨유신용산래,9,1,0,0,0
씨유신풍역점,9,1,0,0,0
씨유안양관악,9,1,0,0,0
씨유안양벤처,9,1,0,0,0
씨유안양청룡,9,1,0,0,0
씨유안양평촌,9,1,0,0,0
씨유안양호계,9,1,0,0,0
씨유엠잠실역,9,1,0,0,0
씨유엠충무로,9,1,0,0,0
씨유용산역점,9,1,0,0,0
씨유의왕오전,9,1,0,0,0
씨유중구필동,9,1,0,0,0
씨유평촌공원,9,1,0,0,0
씨유평촌먹거,9,1,0,0,0
씨유평촌무궁,9,1,0,0,0
씨유평촌보영,9,1,0,0,0
씨유평촌우성,9,1,0,0,0
씨유호계덕현,9,1,0,0,0
씨유호계홈타,9,1,0,0,0
씨제이올리브,9,1,0,0,0
아레나PC방,9,1,0,0,0
아마스빈범계,9,1,0,0,0
아마스빈평촌,9,1,0,0,0
아미스카페테,9,1,0,0,0
아미키친,9,1,0,0,0
아비꼬안양범,9,1,0,0,0
아성다이소,9,1,0,0,0
아이센스리그,9,1,0,0,0
아이센스피시,9,1,0,0,0
아이스랑까까,9,1,0,0,0
아이스짱,9,1,0,0,0
아이지에이안,9,1,0,0,0
아인스까페,9,1,0,0,0
아재순대소녀,9,1,0,0,0
악쓰는하마코,9,1,0,0,0
안양온천,9,1,0,0,0
안양평촌학원,9,0,0,1,0
안양하다,9,1,0,0,0
알래스카싸움,9,1,0,0,0
알파문구,9,1,0,0,0
얌얌분식,9,1,0,0,0
양스김밥천국,9,1,0,0,0
얼음왕국석수,9,1,0,0,0
에버그린,9,1,0,0,0
에이럭스,9,0,0,1,0
에이럭스GM,9,0,0,1,0
에이치디씨아,9,1,0,0,0
에이치앤엠헤,9,1,0,0,0
엔알비환불,9,0,0,1,0
엔젤스코인노,9,1,0,0,0
엘프pccafe,9,1,0,0,0
엠팩토리맨,9,1,0,0,0
여기어때_   ,9,0,0,0,0
역전우동0410,9,1,0,0,0
역전우동범계,9,1,0,0,0
역전할인마트,9,1,0,0,0
연풍휴게소매,9,1,0,0,0
