place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
파두매도금액,9,0,0,1,0
파란제노PC,9,1,0,0,0
파리바게뜨논,9,1,0,0,0
파리바게뜨범,9,1,0,0,0
파리바게뜨안,9,1,0,0,0
파리바게뜨평,9,1,0,0,0
파리바게뜨한,9,1,0,0,0
팔공티,9,1,0,0,0
페이펄문구센,9,1,0,0,0
펜트리문구센,9,1,0,0,0
펜트리문구평,9,1,0,0,0
펜트리문구평촌점,9,1,0,0,0
펠리치따평촌,9,1,0,0,0
평촌범계문고,9,1,0,0,0
평촌범계약국,9,1,0,0,0
평촌종로약국,9,1,0,0,0
포메인,9,0,0,1,0
포차끝판왕홍,9,1,0,0,0
포텐스터디카,9,1,0,0,0
포트캔커피충,9,1,0,0,0
푸드하우스,9,1,0,0,0
풀PC방,9,1,0,0,0
프랭크버거범,9,1,0,0,0
프랭크버거의,9,1,0,0,0
프레시홈마트,9,1,0,0,0
프린트데이24,9,1,0,0,0
플래시커피신,9,1,0,0,0
플레이존,9,1,0,0,0
피씨지엥,9,1,0,0,0
피씨토랑안양,9,1,0,0,0
피오디디,9,1,0,0,0
피자2001,9,1,0,0,0
피자먹다범계,9,1,0,0,0
피자스쿨안양,9,1,0,0,0
피자스쿨평촌,9,1,0,0,0
피자스쿨호계,9,1,0,0,0
필동반점,9,1,0,0,0
필동커피(Pil,9,1,0,0,0
필에너지,9,0,0,1,0
하나름마트,9,1,0,0,0
하나약국,9,1,0,0,0
하이킥피씨(P,9,1,0,0,0
학원문고,9,1,0,0,0
학원비결제( ,9,0,0,0,0
한국맥도날드,9,1,0,0,0
한국철도공사,9,1,0,0,0
한독약국,9,1,0,0,0
한마음슈퍼,9,1,0,0,0
한솥도시락안,9,1,0,0,0
한신포차인계,9,1,0,0,0
한촌설렁탕,9,1,0,0,0
할매김밥,9,1,0,0,0
할머니용돈,9,1,0,0,0
함형석이비인,9,1,0,0,0
해늘,9,1,0,0,0
해외이건민,9,0,1,1,0
해피로pc방,9,1,0,0,0
해피피씨토랑,9,1,0,0,0
핵밥(범계 ,9,1,0,0,0
행컵평촌학원,9,1,0,0,0
헌터PC의왕,9,1,0,0,0
헤어디자이너,9,1,0,0,0
헤어라푼젤,9,1,0,0,0
헥토_대표(,9,0,0,1,0
현대마린환불,9,0,0,1,0
현대홈마트,9,1,0,0,0
형제전통돼지,9,1,0,0,0
혜성내과의원,9,1,0,0,0
호식이두마리,9,1,0,0,0
홍당무파스타,9,1,0,0,0
홍대개미범계,9,1,0,0,0
홍대호,9,0,1,0,0
홍씨네감자탕,9,1,0,0,0
홍짜장,9,1,0,0,0
홍짜장(범 ,9,1,0,0,0
홍콩반점0410,9,1,0,0,0
화차이,9,1,0,0,0
황금성,9,1,0,0,0
황도바지락칼,9,1,0,0,0
후다닭치킨점,9,1,0,0,0
휴우,9,1,0,0,0
