name,weight,percentage
간아,1,3.95652E-07
간앙,1,3.95652E-07
간어,1,3.95652E-07
간자,1,3.95652E-07
간화,1,3.95652E-07
갈반하나,1,3.95652E-07
갈티어,1,3.95652E-07
감,1,3.95652E-07
감귤,1,3.95652E-07
감나,4,1.58261E-06
감비,6,2.37391E-06
감사,2,7.91303E-07
감서,1,3.95652E-07
감송,1,3.95652E-07
감원,1,3.95652E-07
감희,1,3.95652E-07
갑,1,3.95652E-07
갑경,2,7.91303E-07
갑민,1,3.95652E-07
갑분,1,3.95652E-07
갑비,1,3.95652E-07
갑숙,1,3.95652E-07
갑식,1,3.95652E-07
갑영,1,3.95652E-07
갑인,1,3.95652E-07
갑임,1,3.95652E-07
강,77,3.04652E-05
강가람,1,3.95652E-07
강경,2,7.91303E-07
강근,1,3.95652E-07
강금지,1,3.95652E-07
강나,3,1.18695E-06
강나래,1,3.95652E-07
강나루,1,3.95652E-07
강나림,1,3.95652E-07
강나연,1,3.95652E-07
강다겸,1,3.95652E-07
강다빈,1,3.95652E-07
강담,1,3.95652E-07
강대,1,3.95652E-07
강들,1,3.95652E-07
강뜰에봄결,1,3.95652E-07
강란,1,3.95652E-07
강래,1,3.95652E-07
강레나,1,3.95652E-07
강련,2,7.91303E-07
강령,2,7.91303E-07
강로아,1,3.95652E-07
강륜,2,7.91303E-07
강률,1,3.95652E-07
강리,8,3.16521E-06
강리나,1,3.95652E-07
강린,13,5.14347E-06
강림,7,2.76956E-06
강마리온,1,3.95652E-07
강매,1,3.95652E-07
강명,1,3.95652E-07
강묘,1,3.95652E-07
강문,1,3.95652E-07
강미,17,6.72608E-06
강민,29,1.14739E-05
강민설,1,3.95652E-07
강민솔,1,3.95652E-07
강민주,1,3.95652E-07
강벼리,1,3.95652E-07
강별,10,3.95652E-06
강비,30,1.18695E-05
강빈,26,1.02869E-05
강산,4,1.58261E-06
강서,7,2.76956E-06
강서연,1,3.95652E-07
강서영,1,3.95652E-07
강서현,1,3.95652E-07
강설,2,7.91303E-07
강성,3,1.18695E-06
강솔,7,2.76956E-06
강수림,1,3.95652E-07
강수아,1,3.95652E-07
강숙,1,3.95652E-07
강순,1,3.95652E-07
강시후,1,3.95652E-07
강아,9,3.56086E-06
강아라,2,7.91303E-07
강아련,1,3.95652E-07
강아리안나,1,3.95652E-07
강아인,1,3.95652E-07
강언,1,3.95652E-07
강엘리사사랑,1,3.95652E-07
강여울,1,3.95652E-07
강연,24,9.49564E-06
강연아,1,3.95652E-07
강영,1,3.95652E-07
강예,1,3.95652E-07
강우,3,1.18695E-06
강우리,1,3.95652E-07
강울,1,3.95652E-07
강원,1,3.95652E-07
강유,24,9.49564E-06
강윤,24,9.49564E-06
강윤서,1,3.95652E-07
강윤슬,1,3.95652E-07
강율,4,1.58261E-06
강은,163,6.44912E-05
강은유,1,3.95652E-07
강의,2,7.91303E-07
강이,61,2.41347E-05
강이랑,1,3.95652E-07
강인,3,1.18695E-06
강임,3,1.18695E-06
강자,8,3.16521E-06
강자영,1,3.95652E-07
강주,31,1.22652E-05
강주아,1,3.95652E-07
강지,5,1.97826E-06
강지우,1,3.95652E-07
강지윤,1,3.95652E-07
강지율,1,3.95652E-07
강채,3,1.18695E-06
강초롱,1,3.95652E-07
강탄,1,3.95652E-07
강하,7,2.76956E-06
강하나,1,3.95652E-07
강하늘,1,3.95652E-07
강하리,1,3.95652E-07
강한별,1,3.95652E-07
강해,4,1.58261E-06
강현,27,1.06826E-05
강현승,1,3.95652E-07
강혜,7,2.76956E-06
강화랑,1,3.95652E-07
강회,1,3.95652E-07
강효,2,7.91303E-07
강휘,6,2.37391E-06
강희,528,0.000208904
개리,1,3.95652E-07
개림,2,7.91303E-07
개브리엘레이시,1,3.95652E-07
개애,1,3.95652E-07
개이덴스크리스틴,1,3.95652E-07
개이라나,1,3.95652E-07
개자,1,3.95652E-07
거광,1,3.95652E-07
거나,1,3.95652E-07
거넨,1,3.95652E-07
거루,1,3.95652E-07
거빈,1,3.95652E-07
거울,1,3.95652E-07
건,10,3.95652E-06
건강,1,3.95652E-07
건경,1,3.95652E-07
건규,1,3.95652E-07
건나,2,7.91303E-07
건녕,2,7.91303E-07
건령,16,6.33043E-06
건리,2,7.91303E-07
건명,1,3.95652E-07
건미,5,1.97826E-06
건민,9,3.56086E-06
건비,7,2.76956E-06
건빈,2,7.91303E-07
건서,3,1.18695E-06
건슬,1,3.95652E-07
건아,60,2.37391E-05
건앙,1,3.95652E-07
건애,2,7.91303E-07
건영,65,2.57174E-05
건예,2,7.91303E-07
건우,5,1.97826E-06
건월,1,3.95652E-07
건유,9,3.56086E-06
건유빈,1,3.95652E-07
건윤,2,7.91303E-07
건율,1,3.95652E-07
건이,18,7.12173E-06
건임,1,3.95652E-07
건주,12,4.74782E-06
건준,1,3.95652E-07
건진,1,3.95652E-07
건채,1,3.95652E-07
건하,12,4.74782E-06
건해,5,1.97826E-06
건향,1,3.95652E-07
건허,1,3.95652E-07
건현,1,3.95652E-07
건형,2,7.91303E-07
건혜,19,7.51738E-06
건호,4,1.58261E-06
건화,10,3.95652E-06
건효,11,4.35217E-06
건후,1,3.95652E-07
건휘,9,3.56086E-06
건희,391,0.0001547
걸추르드메이요,1,3.95652E-07
검미,1,3.95652E-07
검서,3,1.18695E-06
검지,4,1.58261E-06
게겡후슬렝,1,3.95652E-07
게사르,1,3.95652E-07
게스린,1,3.95652E-07
겨라,3,1.18695E-06
겨레,12,4.74782E-06
겨루,5,1.97826E-06
겨리,1,3.95652E-07
겨슬,2,7.91303E-07
겨우리,1,3.95652E-07
겨운,17,6.72608E-06
겨울,93,3.67956E-05
겨움,5,1.97826E-06
격우적,1,3.95652E-07
견나,1,3.95652E-07
견대,1,3.95652E-07
견미,1,3.95652E-07
견민,1,3.95652E-07
견빈,4,1.58261E-06
견서,3,1.18695E-06
견아,2,7.91303E-07
견영,3,1.18695E-06
견온,1,3.95652E-07
견우,2,7.91303E-07
견율,1,3.95652E-07
견이,1,3.95652E-07
견자,2,7.91303E-07
견주,1,3.95652E-07
견지,1,3.95652E-07
견후,1,3.95652E-07
견희,4,1.58261E-06
결,276,0.0001092
결가,1,3.95652E-07
결가리,1,3.95652E-07
결나,1,3.95652E-07
결리,3,1.18695E-06
결마,1,3.95652E-07
결미,1,3.95652E-07
결봉,1,3.95652E-07
결사,1,3.95652E-07
결실,1,3.95652E-07
결심,1,3.95652E-07
결아,7,2.76956E-06
결애,9,3.56086E-06
결앵,1,3.95652E-07
결여,1,3.95652E-07
결엽,1,3.95652E-07
결우,3,1.18695E-06
결월,3,1.18695E-06
결유,2,7.91303E-07
결의,13,5.14347E-06
결이,22,8.70434E-06
결인,1,3.95652E-07
결자,1,3.95652E-07
결주,2,7.91303E-07
결진,1,3.95652E-07
결채,4,1.58261E-06
결학,1,3.95652E-07
결해,1,3.95652E-07
결행,1,3.95652E-07
결향,1,3.95652E-07
